Please choose a sorting method from the menu below:
[1] Bubble Sort
[2] Insertion Sort
[3] Selection Sort
[4] Merge Sort
[5] Quick Sort
[Q] Quit
Selection: 1

-2147423734	-2147249457	-2147027138	-2146565380	-2146212195	-2145726593	-2145420841	-2145406453	-2145360700	-2145324498	
-2144742271	-2144389549	-2143420005	-2143324354	-2142829676	-2142567236	-2142320425	-2142098871	-2142026621	-2141585723	
-2141379645	-2141163598	-2141078207	-2140799023	-2140712665	-2140387972	-2140358251	-2139369827	-2139154414	-2139116401	
-2139037294	-2138350728	-2138106433	-2137788450	-2137516303	-2136363844	-2136032747	-2135884670	-2135689825	-2135297607	
-2134027110	-2132972039	-2131761070	-2131605077	-2131314184	-2130902603	-2130861658	-2130632764	-2129621953	-2129531703	
-2129427659	-2129276392	-2128791957	-2128726344	-2128673161	-2128660940	-2127923527	-2127910378	-2127709082	-2126325889	
-2126001200	-2125568146	-2125449102	-2125406531	-2125363623	-2124037394	-2123675670	-2123646181	-2123583804	-2122596138	
-2122056998	-2121780074	-2119214716	-2118891693	-2117605015	-2117321782	-2116749154	-2116564894	-2116467412	-2116161180	
-2115120252	-2114231148	-2114177956	-2114085227	-2113368026	-2113286824	-2112717623	-2112346864	-2112235214	-2111609645	
-2111210317	-2111188274	-2110707669	-2110117724	-2109627136	-2109157567	-2109065608	-2108524720	-2108432597	-2107198878	
-2107183033	-2107131508	-2107104288	-2106857571	-2106461234	-2105779921	-2105682046	-2104810627	-2102775727	-2102617516	
-2102544234	-2102397506	-2102131960	-2101427389	-2100722496	-2099934518	-2099625913	-2099296353	-2098967363	-2098283087	
-2097220075	-2096967485	-2096859344	-2096061282	-2095849529	-2095771018	-2095506878	-2095387513	-2095000846	-2094793170	
-2094269877	-2093867251	-2093836838	-2093809478	-2093785073	-2093466005	-2093378062	-2092467255	-2092169659	-2092132252	
-2091896237	-2091453758	-2091268775	-2090900094	-2089223874	-2088990612	-2088871373	-2088542104	-2088028266	-2087994292	
-2087196088	-2086989914	-2086866475	-2086667228	-2086277828	-2085683535	-2085080291	-2084845523	-2084419201	-2083969758	
-2083210868	-2082995365	-2082930543	-2082633967	-2082494519	-2082461907	-2081895571	-2081414502	-2081399492	-2081091270	
-2080311901	-2080100408	-2079836113	-2079308092	-2079304511	-2079256019	-2078929652	-2078671463	-2078104209	-2077418731	
-2077012295	-2076057126	-2075833304	-2075520835	-2075380642	-2074936027	-2074880865	-2073671469	-2073426445	-2073320601	
-2071908344	-2071899353	-2071644424	-2070953029	-2070780903	-2070756622	-2070690390	-2070323467	-2069541696	-2069324781	
-2068794251	-2068735258	-2067044588	-2066867669	-2066448874	-2066362948	-2065957403	-2065842708	-2065328204	-2064850701	
-2063365101	-2063348616	-2063147257	-2063019822	-2061475299	-2061442805	-2061041981	-2059967023	-2059594416	-2059138602	
-2058828518	-2058652453	-2058404683	-2058329042	-2058252302	-2057000316	-2056984035	-2056963538	-2056893245	-2056702424	
